match_name,team,batting_pos,player_name,dismissal,runs,balls,fours,sixes,strike_rate,player_name_clean,team_clean,player_id
CANADA vs UNITED STATES OF AMERICA,Canada,1,Aaron Johnson,c NR Kumar b Harmeet Singh,23,16,5,0,143.75,aaron johnson,CAN,P46
CANADA vs UNITED STATES OF AMERICA,Canada,2,Navneet Dhaliwal,c Jessy Singh b CJ Anderson,61,44,6,3,138.64,navneet dhaliwal,CAN,P51
CANADA vs UNITED STATES OF AMERICA,Canada,3,Pargat Singh,run out (Jessy Singh/Monank Patel),5,7,0,0,71.43,pargat singh,CAN,P49
CANADA vs UNITED STATES OF AMERICA,Canada,4,Nicholas Kirton,c CJ Anderson b Ali Khan,51,31,3,2,164.52,nicholas kirton,CAN,P48
CANADA vs UNITED STATES OF AMERICA,Canada,5,Shreyas Movva,not out,32,16,2,2,200,shreyas movva,CAN,P55
CANADA vs UNITED STATES OF AMERICA,Canada,6,Dilpreet Singh,run out (Steven Taylor/Monank Patel),11,5,1,1,220,dilpreet bajwa,CAN,P53
CANADA vs UNITED STATES OF AMERICA,Canada,7,Dillon Heyliger,not out,1,1,0,0,100,dilon heyliger,CAN,P56
CANADA vs UNITED STATES OF AMERICA,United States Of America,1,Steven Taylor,lbw b Kaleem Sana,0,2,0,0,0,steven taylor,USA,P64
CANADA vs UNITED STATES OF AMERICA,United States Of America,2,Monank Patel (c & wk),c Shreyas Movva b Dillon Heyliger,16,16,2,0,100,monank patel,USA,P69
CANADA vs UNITED STATES OF AMERICA,United States Of America,3,Andries Gous,c Aaron Johnson b Nikhil Dutta,65,46,7,3,141.3,andries gous,USA,P70
CANADA vs UNITED STATES OF AMERICA,United States Of America,4,Aaron Jones,not out,94,40,4,10,235,aaron jones,USA,P61
CANADA vs UNITED STATES OF AMERICA,United States Of America,5,Corey Anderson,not out,3,5,0,0,60,corey anderson,USA,P65
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,1,Tony Ura,c Pooran b Romario Shepherd,2,5,0,0,40,tony ura,PNG,P237
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,2,Assad Vala (c),c Roston Chase b Alzarri Joseph,21,22,2,1,95.45,assad vala,PNG,P232
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,3,Lega Siaka,b Akeal Hosein,1,2,0,0,50,lega siaka,PNG,P231
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,4,Sese Bau,b Alzarri Joseph,50,43,6,1,116.28,sese bau,PNG,P234
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,5,Hiri Hiri,c Rovman Powell b Motie,2,6,0,0,33.33,hiri hiri,PNG,P229
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,6,Charles Amini,c Pooran b Russell,12,14,0,0,85.71,charles amini,PNG,P233
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,7,Kiplin Doriga,not out,27,18,3,0,150,kiplin doriga,PNG,P236
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,8,Chad Soper,b Russell,10,9,1,0,111.11,chad soper,PNG,P239
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,9,Alei Nao,run out (Alzarri Joseph),0,0,0,0,0,alei nao,PNG,P238
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,10,Kabua Morea,not out,2,2,0,0,100,kabua morea,PNG,P241
PAPUA NEW GUINEA vs WEST INDIES,West Indies,1,Brandon King,c Lega Siaka b Assad Vala,34,29,7,0,117.24,brandon king,WI,P200
PAPUA NEW GUINEA vs WEST INDIES,West Indies,2,Johnson Charles,lbw b Alei Nao,0,1,0,0,0,johnson charles,WI,P207
PAPUA NEW GUINEA vs WEST INDIES,West Indies,3,Nicholas Pooran,c Tony Ura b John Kariko,27,27,1,2,100,nicholas pooran,WI,P208
PAPUA NEW GUINEA vs WEST INDIES,West Indies,4,Roston Chase,not out,42,27,4,2,155.56,roston chase,WI,P203
PAPUA NEW GUINEA vs WEST INDIES,West Indies,5,Rovman Powell (c),c Kiplin Doriga b Chad Soper,15,14,2,0,107.14,rovman powell,WI,P198
PAPUA NEW GUINEA vs WEST INDIES,West Indies,6,Sherfane Rutherford,c Kiplin Doriga b Assad Vala,2,7,0,0,28.57,sherfane rutherford,WI,P201
PAPUA NEW GUINEA vs WEST INDIES,West Indies,7,Andre Russell,not out,15,9,0,1,166.67,andre russell,WI,P204
OMAN vs NAMIBIA,Oman,1,Kashyap,lbw b Trumpelmann,0,1,0,0,0,kashyap prajapati,OMN,P106
OMAN vs NAMIBIA,Oman,2,Naseem Khushi,c Gerhard Erasmus b Trumpelmann,6,6,1,0,100,naseem khushi,OMN,P116
OMAN vs NAMIBIA,Oman,3,Aqib Ilyas (c),lbw b Trumpelmann,0,1,0,0,0,aqib ilyas,OMN,P110
OMAN vs NAMIBIA,Oman,4,Zeeshan Maqsood,lbw b Bernard Scholtz,22,20,4,0,110,zeeshan maqsood,OMN,P111
OMAN vs NAMIBIA,Oman,5,Khalid Kail,c and b Wiese,34,39,1,1,87.18,khalid kail,OMN,P109
OMAN vs NAMIBIA,Oman,6,Ayaan Khan,c Jan Frylinck b Gerhard Erasmus,15,21,0,1,71.43,ayaan khan,OMN,P113
OMAN vs NAMIBIA,Oman,7,Mohammad Nadeem,lbw b Gerhard Erasmus,6,10,0,0,60,mohammad nadeem,OMN,P114
OMAN vs NAMIBIA,Oman,8,Mehran Khan,lbw b Wiese,7,8,1,0,87.5,mehran khan,OMN,P108
OMAN vs NAMIBIA,Oman,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,2,0,122.22,shakeel ahmed,OMN,P117
OMAN vs NAMIBIA,Oman,10,Kaleemullah,lbw b Trumpelmann,2,3,0,0,66.67,kaleemullah,OMN,P120
OMAN vs NAMIBIA,Oman,11,Bilal Khan,not out,1,1,0,0,100,bilal khan,OMN,P118
OMAN vs NAMIBIA,Namibia,1,Michael van Lingen,b Bilal Khan,0,2,0,0,0,michael van lingen,NAM,P250
OMAN vs NAMIBIA,Namibia,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,2,1,77.42,nikolaas davin,NAM,P244
OMAN vs NAMIBIA,Namibia,3,Jan Frylinck,b Mehran Khan,45,48,6,0,93.75,jan frylinck,NAM,P248
OMAN vs NAMIBIA,Namibia,4,Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13,16,1,0,81.25,gerhard erasmus,NAM,P246
OMAN vs NAMIBIA,Namibia,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,1,0,66.67,jj smit,NAM,P251
OMAN vs NAMIBIA,Namibia,6,David Wiese,not out,9,8,0,1,112.5,david wiese,NAM,P249
OMAN vs NAMIBIA,Namibia,7,Zane Green,lbw b Mehran Khan,0,2,0,0,0,zane green,NAM,P252
OMAN vs NAMIBIA,Namibia,8,Malan Kruger,not out,1,1,0,0,100,malan kruger,NAM,P245
SRI LANKA vs SOUTH AFRICA,Sri Lanka,1,Pathum Nissanka,c Klaasen b Ottneil Baartman,3,8,0,0,37.5,pathum nissanka,SL,P136
SRI LANKA vs SOUTH AFRICA,Sri Lanka,2,Kusal Mendis,c Tristan Stubbs b Nortje,19,30,1,0,63.33,kusal mendis,SL,P144
SRI LANKA vs SOUTH AFRICA,Sri Lanka,3,Kamindu Mendis,c Reeza Hendricks b Nortje,11,15,1,0,73.33,kamindu mendis,SL,P140
SRI LANKA vs SOUTH AFRICA,Sri Lanka,4,W Hasaranga (c),st de Kock b Maharaj,0,2,0,0,0,wanindu hasaranga,SL,P142
SRI LANKA vs SOUTH AFRICA,Sri Lanka,5,Samarawickrama,b Maharaj,0,1,0,0,0,sadeera samarawickrama,SL,P145
SRI LANKA vs SOUTH AFRICA,Sri Lanka,6,Asalanka,c Reeza Hendricks b Nortje,6,9,0,0,66.67,charith asalanka,SL,P137
SRI LANKA vs SOUTH AFRICA,Sri Lanka,7,Mathews,c Ottneil Baartman b Nortje,16,16,0,2,100,angelo mathews,SL,P139
SRI LANKA vs SOUTH AFRICA,Sri Lanka,8,Shanaka,b Rabada,9,10,0,1,90,dasun shanaka,SL,P141
SRI LANKA vs SOUTH AFRICA,Sri Lanka,9,M Theekshana,not out,7,16,1,0,43.75,maheesh theekshana,SL,P149
SRI LANKA vs SOUTH AFRICA,Sri Lanka,10,Matheesha Pathirana,c Markram b Rabada,0,4,0,0,0,matheesha pathirana,SL,P148
SRI LANKA vs SOUTH AFRICA,Sri Lanka,11,N Thushara,run out (Nortje/Marco Jansen),0,4,0,0,0,nuwan thushara,SL,P150
SRI LANKA vs SOUTH AFRICA,South Africa,1,Quinton de Kock,c and b W Hasaranga,20,27,0,1,74.07,quinton de kock,RSA,P125
SRI LANKA vs SOUTH AFRICA,South Africa,2,Reeza Hendricks,c Kamindu Mendis b N Thushara,4,2,1,0,200,reeza hendricks,RSA,P122
SRI LANKA vs SOUTH AFRICA,South Africa,3,Aiden Markram (c),c Kamindu Mendis b Shanaka,12,14,0,1,85.71,aiden markram,RSA,P121
SRI LANKA vs SOUTH AFRICA,South Africa,4,Tristan Stubbs,c Asalanka b W Hasaranga,13,28,0,0,46.43,tristan stubbs,RSA,P128
SRI LANKA vs SOUTH AFRICA,South Africa,5,Heinrich Klaasen,not out,19,22,1,1,86.36,heinrich klaasen,RSA,P126
SRI LANKA vs SOUTH AFRICA,South Africa,6,David Miller,not out,6,6,1,0,100,david miller,RSA,P123
AFGHANISTAN vs UGANDA,Afghanistan,1,Gurbaz,c Riazat Ali Shah b Alpesh Ramjani,76,45,4,4,168.89,rahmanullah gurbaz,AFG,P175
AFGHANISTAN vs UGANDA,Afghanistan,2,Ibrahim Zadran,b Masaba,70,46,9,1,152.17,ibrahim zadran,AFG,P166
AFGHANISTAN vs UGANDA,Afghanistan,3,Najibullah,c Dinesh Nakrani b Masaba,2,3,0,0,66.67,najibullah zadran,AFG,P167
AFGHANISTAN vs UGANDA,Afghanistan,4,Nabi,not out,14,16,0,0,87.5,mohammad nabi,AFG,P171
AFGHANISTAN vs UGANDA,Afghanistan,5,Gulbadin,c Masaba b Cosmas Kyewuta,4,5,0,0,80,gulbadin naib,AFG,P169
AFGHANISTAN vs UGANDA,Afghanistan,6,Azmatullah,c Alpesh Ramjani b Cosmas Kyewuta,5,5,0,0,100,azmatullah omarzai,AFG,P170
AFGHANISTAN vs UGANDA,Afghanistan,7,Rashid Khan (c),not out,2,1,0,0,200,rashid khan,AFG,P172
AFGHANISTAN vs UGANDA,Uganda,1,Ronak Patel,b Fazalhaq Farooqi,4,2,1,0,200,ronak patel,UGA,P215
AFGHANISTAN vs UGANDA,Uganda,2,Simon Ssesazi,c Fazalhaq Farooqi b Mujeeb,4,4,1,0,100,simon ssesazi,UGA,P216
AFGHANISTAN vs UGANDA,Uganda,3,Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,0,0,0,roger mukasa,UGA,P222
AFGHANISTAN vs UGANDA,Uganda,4,Riazat Ali Shah,b Fazalhaq Farooqi,11,34,0,0,32.35,riazat ali shah,UGA,P219
