match_name,team,player_name,overs,maidens,runs,wickets,no_balls,wides,economy,player_name_clean,team_clean,player_id
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Ali Khan,4,0,41,1,0,2,10.2,ali khan,USA,P72
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Netravalkar,2,0,16,0,0,0,8,saurabh netravalkar,USA,P75
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Harmeet Singh,4,0,27,1,0,0,6.8,harmeet singh,USA,P66
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Jasdeep Singh,3,0,24,0,0,0,8,jessy singh,USA,P73
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,van Schalkwyk,3,0,34,0,0,0,11.3,shadley van schalkwyk,USA,P68
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Steven Taylor,1,0,15,0,0,0,15,steven taylor,USA,P64
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,CJ Anderson,3,0,29,1,0,0,9.7,corey anderson,USA,P65
CANADA vs UNITED STATES OF AMERICA,CANADA,Kaleem Sana,4,0,34,1,0,6,8.5,kaleem sana,CAN,P58
CANADA vs UNITED STATES OF AMERICA,CANADA,Jeremy Gordon,3,0,44,0,2,3,14.7,jeremy gordon,CAN,P57
CANADA vs UNITED STATES OF AMERICA,CANADA,Dillon Heyliger,3,0,19,1,0,3,6.3,dilon heyliger,CAN,P56
CANADA vs UNITED STATES OF AMERICA,CANADA,Saad Bin Zafar (c),4,0,42,0,0,0,10.5,saad bin zafar,CAN,P54
CANADA vs UNITED STATES OF AMERICA,CANADA,Nikhil Dutta,2.4,0,41,1,1,2,15.4,nikhil dutta,CAN,P59
CANADA vs UNITED STATES OF AMERICA,CANADA,Pargat Singh,1,0,15,0,0,0,15,pargat singh,CAN,P49
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Akeal Hosein,3,0,9,1,0,0,3,akeal hosein,WI,P212
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Romario Shepherd,3,0,23,1,0,1,7.7,romario shepherd,WI,P205
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Russell,3,0,19,2,0,1,6.3,andre russell,WI,P204
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Roston Chase,4,0,26,0,0,4,6.5,roston chase,WI,P203
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Alzarri Joseph,4,0,34,2,1,1,8.5,alzarri joseph,WI,P210
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Motie,3,0,24,1,0,0,8,gudakesh motie,WI,P206
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Kabua Morea,3,0,30,0,0,0,10,kabua morea,PNG,P241
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Alei Nao,2,1,9,1,0,0,4.5,alei nao,PNG,P238
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Chad Soper,3,0,19,1,0,0,6.3,chad soper,PNG,P239
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Sese Bau,1,0,18,0,0,0,18,sese bau,PNG,P234
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,John Kariko,4,0,17,1,0,0,4.2,john kariko,PNG,P240
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Assad Vala (c),4,1,28,2,0,0,7,assad vala,PNG,P232
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Charles Amini,2,0,14,0,0,0,7,charles amini,PNG,P233
OMAN vs NAMIBIA,NAMIBIA,Trumpelmann,4,0,21,4,1,0,5.2,ruben trumpelmann,NAM,P254
OMAN vs NAMIBIA,NAMIBIA,Wiese,3.4,0,28,3,0,0,7.6,david wiese,NAM,P249
OMAN vs NAMIBIA,NAMIBIA,Tangeni Lungameni,4,0,18,0,0,1,4.5,tangeni lungameni,NAM,P257
OMAN vs NAMIBIA,NAMIBIA,Bernard Scholtz,4,0,20,1,0,1,5,bernard scholtz,NAM,P258
OMAN vs NAMIBIA,NAMIBIA,Gerhard Erasmus (c),4,0,20,2,0,0,5,gerhard erasmus,NAM,P246
OMAN vs NAMIBIA,OMAN,Bilal Khan,4,0,25,1,0,1,6.2,bilal khan,OMN,P118
OMAN vs NAMIBIA,OMAN,Shakeel Ahmed,3,0,20,0,0,0,6.7,shakeel ahmed,OMN,P117
OMAN vs NAMIBIA,OMAN,Kaleemullah,2,0,10,0,0,0,5,kaleemullah,OMN,P120
OMAN vs NAMIBIA,OMAN,Aqib Ilyas (c),4,1,17,1,0,0,4.2,aqib ilyas,OMN,P110
OMAN vs NAMIBIA,OMAN,Mehran Khan,3,1,7,3,0,0,2.3,mehran khan,OMN,P108
OMAN vs NAMIBIA,OMAN,Zeeshan Maqsood,2,0,12,0,0,0,6,zeeshan maqsood,OMN,P111
OMAN vs NAMIBIA,OMAN,Ayaan Khan,2,0,12,1,0,2,6,ayaan khan,OMN,P113
SRI LANKA vs SOUTH AFRICA,SOUTH AFRICA,Marco Jansen,3.1,0,15,0,0,1,4.7,marco jansen,RSA,P124
SRI LANKA vs SOUTH AFRICA,SOUTH AFRICA,Rabada,4,1,21,2,0,1,5.2,kagiso rabada,RSA,P134
SRI LANKA vs SOUTH AFRICA,SOUTH AFRICA,Ottneil Baartman,4,1,9,1,0,1,2.2,ottneil baartman,RSA,P129
SRI LANKA vs SOUTH AFRICA,SOUTH AFRICA,Maharaj,4,0,22,2,0,0,5.5,keshav maharaj,RSA,P132
SRI LANKA vs SOUTH AFRICA,SOUTH AFRICA,Nortje,4,0,7,4,0,0,1.8,anrich nortje,RSA,P133
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Angelo Mathews,3,0,16,0,0,1,5.3,angelo mathews,SL,P139
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Nuwan Thushara,3,0,18,1,1,0,6,nuwan thushara,SL,P150
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Dasun Shanaka,3,1,6,1,0,0,2,dasun shanaka,SL,P141
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Matheesha Pathirana,3,0,12,0,0,1,4,matheesha pathirana,SL,P148
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Wanindu Hasaranga (c),3.2,0,22,2,0,0,6.6,wanindu hasaranga,SL,P142
SRI LANKA vs SOUTH AFRICA,SRI LANKA,Maheesh Theekshana,1,0,3,0,0,0,3,maheesh theekshana,SL,P149
AFGHANISTAN vs UGANDA,UGANDA,Alpesh Ramjani,4,0,33,1,0,0,8.2,alpesh ramjani,UGA,P220
AFGHANISTAN vs UGANDA,UGANDA,Cosmas Kyewuta,4,0,25,2,0,0,6.2,cosmas kyewuta,UGA,P225
AFGHANISTAN vs UGANDA,UGANDA,Dinesh Nakrani,3,0,37,0,0,0,12.3,dinesh nakrani,UGA,P217
AFGHANISTAN vs UGANDA,UGANDA,Bilal Hassan,2,0,34,0,1,5,17,bilal hassan,UGA,P224
AFGHANISTAN vs UGANDA,UGANDA,Ssenyondo,2,0,19,0,0,1,9.5,henry ssenyondo,UGA,P228
