player_id,image,player_name,team,role,batting_style,bowling_style,role_clean,batting_style_clean,bowling_arm,bowling_type,player_name_clean
P1,https://static.cricbuzz.com/a/img/v1/i1/c616514/rohit-sharma.jpg?d=low&p=gthumb,Rohit Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,rohit sharma
P2,https://static.cricbuzz.com/a/img/v1/i1/c591942/yashasvi-jaiswal.jpg?d=low&p=gthumb,Yashasvi Jaiswal,India,Batsman,Left Handed Bat,Right-arm legbreak,bat,LHB,Right,legbreak,yashasvi jaiswal
P3,https://static.cricbuzz.com/a/img/v1/i1/c616517/virat-kohli.jpg?d=low&p=gthumb,Virat Kohli,India,Batsman,Right Handed Bat,Right-arm medium,bat,RHB,Right,medium,virat kohli
P4,https://static.cricbuzz.com/a/img/v1/i1/c352481/suryakumar-yadav.jpg?d=low&p=gthumb,Suryakumar Yadav,India,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,suryakumar yadav
P5,https://static.cricbuzz.com/a/img/v1/i1/c616519/hardik-pandya.jpg?d=low&p=gthumb,Hardik Pandya,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,ar,RHB,Right,fast-medium,hardik pandya
P6,https://static.cricbuzz.com/a/img/v1/i1/c593805/shivam-dube.jpg?d=low&p=gthumb,Shivam Dube,India,Batting Allrounder,Left Handed Bat,Right-arm medium,ar,LHB,Right,medium,shivam dube
P7,https://static.cricbuzz.com/a/img/v1/i1/c616520/ravindra-jadeja.jpg?d=low&p=gthumb,Ravindra Jadeja,India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,ravindra jadeja
P8,https://static.cricbuzz.com/a/img/v1/i1/c616521/axar-patel.jpg?d=low&p=gthumb,Axar Patel,India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,axar patel
P9,https://static.cricbuzz.com/a/img/v1/i1/c616524/rishabh-pant.jpg?d=low&p=gthumb,Rishabh Pant WK-,India,WK-Batsman,Left Handed Bat,,wk,LHB,,,rishabh pant
P10,https://static.cricbuzz.com/a/img/v1/i1/c226289/sanju-samson.jpg?d=low&p=gthumb,Sanju Samson WK-,India,WK-Batsman,Right Handed Bat,,wk,RHB,,,sanju samson
P11,https://static.cricbuzz.com/a/img/v1/i1/c616525/kuldeep-yadav.jpg?d=low&p=gthumb,Kuldeep Yadav,India,Bowler,Left Handed Bat,Left-arm wrist-spin,bowl,LHB,Left,,kuldeep yadav
P12,https://static.cricbuzz.com/a/img/v1/i1/c244981/yuzvendra-chahal.jpg?d=low&p=gthumb,Yuzvendra Chahal,India,Bowler,Right Handed Bat,Right-arm legbreak,bowl,RHB,Right,legbreak,yuzvendra chahal
P13,https://static.cricbuzz.com/a/img/v1/i1/c616527/arshdeep-singh.jpg?d=low&p=gthumb,Arshdeep Singh,India,Bowler,Left Handed Bat,Left-arm fast-medium,bowl,LHB,Left,fast-medium,arshdeep singh
P14,https://static.cricbuzz.com/a/img/v1/i1/c591949/jasprit-bumrah.jpg?d=low&p=gthumb,Jasprit Bumrah,India,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,jasprit bumrah
P15,https://static.cricbuzz.com/a/img/v1/i1/c591952/mohammed-siraj.jpg?d=low&p=gthumb,Mohammed Siraj,India,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,mohammed siraj
P16,https://static.cricbuzz.com/a/img/v1/i1/c182026/ross-adair.jpg?d=low&p=gthumb,Ross Adair,Ireland,Batsman,Right Handed Bat,Left-arm orthodox,bat,RHB,Left,orthodox,ross adair
P17,https://static.cricbuzz.com/a/img/v1/i1/c244616/andrew-balbirnie.jpg?d=low&p=gthumb,Andrew Balbirnie,Ireland,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,andrew balbirnie
P18,https://static.cricbuzz.com/a/img/v1/i1/c244641/harry-tector.jpg?d=low&p=gthumb,Harry Tector,Ireland,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,harry tector
P19,https://static.cricbuzz.com/a/img/v1/i1/c244652/paul-stirling.jpg?d=low&p=gthumb,Paul Stirling,Ireland,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,paul stirling
P20,https://static.cricbuzz.com/a/img/v1/i1/c244628/gareth-delany.jpg?d=low&p=gthumb,Gareth Delany,Ireland,Batting Allrounder,Right Handed Bat,Right-arm legbreak,ar,RHB,Right,legbreak,gareth delany
P21,https://static.cricbuzz.com/a/img/v1/i1/c244625/curtis-campher.jpg?d=low&p=gthumb,Curtis Campher,Ireland,Bowling Allrounder,Right Handed Bat,Right-arm medium,ar,RHB,Right,medium,curtis campher
P22,https://static.cricbuzz.com/a/img/v1/i1/c244638/george-dockrell.jpg?d=low&p=gthumb,George Dockrell,Ireland,Bowling Allrounder,Right Handed Bat,Left-arm orthodox,ar,RHB,Left,orthodox,george dockrell
P23,https://static.cricbuzz.com/a/img/v1/i1/c182026/neil-rock.jpg?d=low&p=gthumb,Neil Rock WK-,Ireland,WK-Batsman,Left Handed Bat,,wk,LHB,,,neil rock
P24,https://static.cricbuzz.com/a/img/v1/i1/c244650/lorcan-tucker.jpg?d=low&p=gthumb,Lorcan Tucker WK-,Ireland,WK-Batsman,Right Handed Bat,,wk,RHB,,,lorcan tucker
P25,https://static.cricbuzz.com/a/img/v1/i1/c244651/mark-adair.jpg?d=low&p=gthumb,Mark Adair,Ireland,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,mark adair
P26,https://static.cricbuzz.com/a/img/v1/i1/c182026/graham-hume.jpg?d=low&p=gthumb,Graham Hume,Ireland,Bowler,Left Handed Bat,Right-arm fast-medium,bowl,LHB,Right,fast-medium,graham hume
P27,https://static.cricbuzz.com/a/img/v1/i1/c244649/joshua-little.jpg?d=low&p=gthumb,Joshua Little,Ireland,Bowler,Right Handed Bat,Left-arm fast-medium,bowl,RHB,Left,fast-medium,joshua little
P28,https://static.cricbuzz.com/a/img/v1/i1/c244623/barry-mccarthy.jpg?d=low&p=gthumb,Barry McCarthy,Ireland,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,barry mccarthy
P29,https://static.cricbuzz.com/a/img/v1/i1/c191068/craig-young.jpg?d=low&p=gthumb,Craig Young,Ireland,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,craig young
P30,https://static.cricbuzz.com/a/img/v1/i1/c182026/benjamin-white.jpg?d=low&p=gthumb,Benjamin White,Ireland,Bowler,Right Handed Bat,Right-arm legbreak,bowl,RHB,Right,legbreak,benjamin white
P31,https://static.cricbuzz.com/a/img/v1/i1/c717793/harry-brook.jpg?d=low&p=gthumb,Harry Brook,England,Batsman,Right Handed Bat,Right-arm medium,bat,RHB,Right,medium,harry brook
P32,https://static.cricbuzz.com/a/img/v1/i1/c717790/ben-duckett.jpg?d=low&p=gthumb,Ben Duckett,England,Batsman,Left Handed Bat,Right-arm offbreak,bat,LHB,Right,offbreak,ben duckett
P33,https://static.cricbuzz.com/a/img/v1/i1/c597794/moeen-ali.jpg?d=low&p=gthumb,Moeen Ali,England,Batting Allrounder,Left Handed Bat,Right-arm offbreak,ar,LHB,Right,offbreak,moeen ali
P34,https://static.cricbuzz.com/a/img/v1/i1/c594344/will-jacks.jpg?d=low&p=gthumb,Will Jacks,England,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,will jacks
P35,https://static.cricbuzz.com/a/img/v1/i1/c617405/liam-livingstone.jpg?d=low&p=gthumb,Liam Livingstone,England,Batting Allrounder,Right Handed Bat,Right-arm legbreak,ar,RHB,Right,legbreak,liam livingstone
P36,https://static.cricbuzz.com/a/img/v1/i1/c655387/sam-curran.jpg?d=low&p=gthumb,Sam Curran,England,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium,ar,LHB,Left,fast-medium,sam curran
P37,https://static.cricbuzz.com/a/img/v1/i1/c617407/jos-buttler.jpg?d=low&p=gthumb,Jos Buttler,England,WK-Batsman,Right Handed Bat,,wk,RHB,,,jos buttler
P38,https://static.cricbuzz.com/a/img/v1/i1/c351851/jonny-bairstow.jpg?d=low&p=gthumb,Jonny Bairstow WK-,England,WK-Batsman,Right Handed Bat,Right-arm medium,wk,RHB,Right,medium,jonny bairstow
P39,https://static.cricbuzz.com/a/img/v1/i1/c617408/philip-salt.jpg?d=low&p=gthumb,Philip Salt WK-,England,WK-Batsman,Right Handed Bat,Right-arm offbreak,wk,RHB,Right,offbreak,philip salt
P40,https://static.cricbuzz.com/a/img/v1/i1/c617429/jofra-archer.jpg?d=low&p=gthumb,Jofra Archer,England,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,jofra archer
P41,https://static.cricbuzz.com/a/img/v1/i1/c380064/tom-hartley.jpg?d=low&p=gthumb,Tom Hartley,England,Bowler,Left Handed Bat,Left-arm orthodox,bowl,LHB,Left,orthodox,tom hartley
P42,https://static.cricbuzz.com/a/img/v1/i1/c244783/chris-jordan.jpg?d=low&p=gthumb,Chris Jordan,England,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,chris jordan
P43,https://static.cricbuzz.com/a/img/v1/i1/c617413/adil-rashid.jpg?d=low&p=gthumb,Adil Rashid,England,Bowler,Right Handed Bat,Right-arm legbreak,bowl,RHB,Right,legbreak,adil rashid
P44,https://static.cricbuzz.com/a/img/v1/i1/c627475/reece-topley.jpg?d=low&p=gthumb,Reece Topley,England,Bowler,Right Handed Bat,Left-arm fast-medium,bowl,RHB,Left,fast-medium,reece topley
P45,https://static.cricbuzz.com/a/img/v1/i1/c617415/mark-wood.jpg?d=low&p=gthumb,Mark Wood,England,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,mark wood
P46,https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-johnson.jpg?d=low&p=gthumb,Aaron Johnson,Canada,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,aaron johnson
P47,https://static.cricbuzz.com/a/img/v1/i1/c182026/ravinderpal-singh.jpg?d=low&p=gthumb,Ravinderpal Singh,Canada,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,ravinderpal singh
P48,https://static.cricbuzz.com/a/img/v1/i1/c182026/nicholas-kirton.jpg?d=low&p=gthumb,Nicholas Kirton,Canada,Batting Allrounder,Left Handed Bat,,ar,LHB,,,nicholas kirton
P49,https://static.cricbuzz.com/a/img/v1/i1/c182026/pargat-singh.jpg?d=low&p=gthumb,Pargat Singh,Canada,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,pargat singh
P50,https://static.cricbuzz.com/a/img/v1/i1/c157111/junaid-siddiqui.jpg?d=low&p=gthumb,Junaid Siddiqui,Canada,Batting Allrounder,Right Handed Bat,Right-arm legbreak,ar,RHB,Right,legbreak,junaid siddiqui
P51,https://static.cricbuzz.com/a/img/v1/i1/c182026/navneet-dhaliwal.jpg?d=low&p=gthumb,Navneet Dhaliwal,Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,ar,RHB,Right,fast-medium,navneet dhaliwal
P52,https://static.cricbuzz.com/a/img/v1/i1/c182026/rayyan-pathan.jpg?d=low&p=gthumb,Rayyan Pathan,Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,ar,RHB,Right,fast-medium,rayyan pathan
P53,https://static.cricbuzz.com/a/img/v1/i1/c182026/dilpreet-bajwa.jpg?d=low&p=gthumb,Dilpreet Bajwa,Canada,Bowling Allrounder,Right Handed Bat,Right-arm medium,ar,RHB,Right,medium,dilpreet bajwa
P54,https://static.cricbuzz.com/a/img/v1/i1/c182026/saad-bin-zafar.jpg?d=low&p=gthumb,Saad Bin Zafar,Canada,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,saad bin zafar
P55,https://static.cricbuzz.com/a/img/v1/i1/c182026/shreyas-movva.jpg?d=low&p=gthumb,Shreyas Movva WK-,Canada,WK-Batsman,Right Handed Bat,,wk,RHB,,,shreyas movva
P56,https://static.cricbuzz.com/a/img/v1/i1/c182026/dilon-heyliger.jpg?d=low&p=gthumb,Dilon Heyliger,Canada,Bowler,Right Handed Bat,Right-arm medium,bowl,RHB,Right,medium,dilon heyliger
P57,https://static.cricbuzz.com/a/img/v1/i1/c157994/jeremy-gordon.jpg?d=low&p=gthumb,Jeremy Gordon,Canada,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,jeremy gordon
P58,https://static.cricbuzz.com/a/img/v1/i1/c182026/kaleem-sana.jpg?d=low&p=gthumb,Kaleem Sana,Canada,Bowler,Right Handed Bat,Left-arm fast-medium,bowl,RHB,Left,fast-medium,kaleem sana
P59,https://static.cricbuzz.com/a/img/v1/i1/c155655/nikhil-dutta.jpg?d=low&p=gthumb,Nikhil Dutta,Canada,Bowler,Right Handed Bat,Right-arm offbreak,bowl,RHB,Right,offbreak,nikhil dutta
P60,https://static.cricbuzz.com/a/img/v1/i1/c156279/rishiv-ragav-joshi.jpg?d=low&p=gthumb,Rishiv Ragav Joshi,Canada,Bowler,Right Handed Bat,Left-arm fast-medium,bowl,RHB,Left,fast-medium,rishiv ragav joshi
P61,https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-jones.jpg?d=low&p=gthumb,Aaron Jones,United States,Batsman,Right Handed Bat,Right-arm legbreak,bat,RHB,Right,legbreak,aaron jones
P62,https://static.cricbuzz.com/a/img/v1/i1/c156268/nitish-kumar.jpg?d=low&p=gthumb,Nitish Kumar,United States,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,nitish kumar
P63,https://static.cricbuzz.com/a/img/v1/i1/c182026/milind-kumar.jpg?d=low&p=gthumb,Milind Kumar,United States,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,milind kumar
P64,https://static.cricbuzz.com/a/img/v1/i1/c157038/steven-taylor.jpg?d=low&p=gthumb,Steven Taylor,United States,Batting Allrounder,Left Handed Bat,Right-arm offbreak,ar,LHB,Right,offbreak,steven taylor
P65,https://static.cricbuzz.com/a/img/v1/i1/c156103/corey-anderson.jpg?d=low&p=gthumb,Corey Anderson,United States,Batting Allrounder,Left Handed Bat,Left-arm fast-medium,ar,LHB,Left,fast-medium,corey anderson
P66,https://static.cricbuzz.com/a/img/v1/i1/c156177/harmeet-singh.jpg?d=low&p=gthumb,Harmeet Singh,United States,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,harmeet singh
P67,https://static.cricbuzz.com/a/img/v1/i1/c182026/nisarg-patel.jpg?d=low&p=gthumb,Nisarg Patel,United States,Bowling Allrounder,Right Handed Bat,Left-arm orthodox,ar,RHB,Left,orthodox,nisarg patel
P68,https://static.cricbuzz.com/a/img/v1/i1/c182026/shadley-van-schalkwyk.jpg?d=low&p=gthumb,Shadley van Schalkwyk,United States,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium,ar,LHB,Right,fast-medium,shadley van schalkwyk
P69,https://static.cricbuzz.com/a/img/v1/i1/c182026/monank-patel.jpg?d=low&p=gthumb,Monank Patel,United States,WK-Batsman,Right Handed Bat,,wk,RHB,,,monank patel
P70,https://static.cricbuzz.com/a/img/v1/i1/c182026/andries-gous.jpg?d=low&p=gthumb,Andries Gous WK-,United States,WK-Batsman,Right Handed Bat,,wk,RHB,,,andries gous
P71,https://static.cricbuzz.com/a/img/v1/i1/c182026/shayan-jahangir.jpg?d=low&p=gthumb,Shayan Jahangir WK-,United States,WK-Batsman,Right Handed Bat,Right-arm medium,wk,RHB,Right,medium,shayan jahangir
P72,https://static.cricbuzz.com/a/img/v1/i1/c599389/ali-khan.jpg?d=low&p=gthumb,Ali Khan,United States,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,ali khan
P73,https://static.cricbuzz.com/a/img/v1/i1/c182026/jasdeep-singh.jpg?d=low&p=gthumb,Jasdeep Singh,United States,Bowler,Right Handed Bat,Right-arm medium,bowl,RHB,Right,medium,jasdeep singh
P74,https://static.cricbuzz.com/a/img/v1/i1/c182026/nosthush-kenjige.jpg?d=low&p=gthumb,Nosthush Kenjige,United States,Bowler,Right Handed Bat,Left-arm orthodox,bowl,RHB,Left,orthodox,nosthush kenjige
P75,https://static.cricbuzz.com/a/img/v1/i1/c152616/saurabh-netravalkar.jpg?d=low&p=gthumb,Saurabh Netravalkar,United States,Bowler,Right Handed Bat,Left-arm fast-medium,bowl,RHB,Left,fast-medium,saurabh netravalkar
P76,https://static.cricbuzz.com/a/img/v1/i1/c594298/tim-david.jpg?d=low&p=gthumb,Tim David,Australia,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,tim david
P77,https://static.cricbuzz.com/a/img/v1/i1/c619876/travis-head.jpg?d=low&p=gthumb,Travis Head,Australia,Batsman,Left Handed Bat,Right-arm offbreak,bat,LHB,Right,offbreak,travis head
P78,https://static.cricbuzz.com/a/img/v1/i1/c352449/david-warner.jpg?d=low&p=gthumb,David Warner,Australia,Batsman,Left Handed Bat,,bat,LHB,,,david warner
