match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
CANADA vs UNITED STATES OF AMERICA,CANADA,1,Aaron Johnson,c NR Kumar b Harmeet Singh,23,16,5,0,143.75
CANADA vs UNITED STATES OF AMERICA,CANADA,2,Navneet Dhaliwal,c Jessy Singh b CJ Anderson,61,44,6,3,138.64
CANADA vs UNITED STATES OF AMERICA,CANADA,3,Pargat Singh,run out (Jessy Singh/Monank Patel),5,7,0,0,71.43
CANADA vs UNITED STATES OF AMERICA,CANADA,4,Nicholas Kirton,c CJ Anderson b Ali Khan,51,31,3,2,164.52
CANADA vs UNITED STATES OF AMERICA,CANADA,5,Shreyas Movva (wk),not out,32,16,2,2,200.00
CANADA vs UNITED STATES OF AMERICA,CANADA,6,Dilpreet Singh,run out (Steven Taylor/Monank Patel),11,5,1,1,220.00
CANADA vs UNITED STATES OF AMERICA,CANADA,7,Dillon Heyliger,not out,1,1,0,0,100.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,1,Steven Taylor,lbw b Kaleem Sana,0,2,0,0,0.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,2,Monank Patel (c & wk),c Shreyas Movva b Dillon Heyliger,16,16,2,0,100.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,3,Andries Gous,c Aaron Johnson b Nikhil Dutta,65,46,7,3,141.30
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,4,Aaron Jones,not out,94,40,4,10,235.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,5,Corey Anderson,not out,3,5,0,0,60.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,1,Tony Ura,c Pooran b Romario Shepherd,2,5,0,0,40.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,2,Assad Vala (c),c Roston Chase b Alzarri Joseph,21,22,2,1,95.45
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,3,Lega Siaka,b Akeal Hosein,1,2,0,0,50.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,4,Sese Bau,b Alzarri Joseph,50,43,6,1,116.28
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,5,Hiri Hiri,c Rovman Powell b Motie,2,6,0,0,33.33
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,6,Charles Amini,c Pooran b Russell,12,14,0,0,85.71
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,7,Kiplin Doriga (wk),not out,27,18,3,0,150.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,8,Chad Soper,b Russell,10,9,1,0,111.11
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,9,Alei Nao,run out (Alzarri Joseph),0,0,0,0,0.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,10,Kabua Morea,not out,2,2,0,0,100.00
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,1,Brandon King,c Lega Siaka b Assad Vala,34,29,7,0,117.24
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,2,Johnson Charles,lbw b Alei Nao,0,1,0,0,0.00
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,3,Nicholas Pooran (wk),c Tony Ura b John Kariko,27,27,1,2,100.00
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,4,Roston Chase,not out,42,27,4,2,155.56
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,5,Rovman Powell (c),c Kiplin Doriga b Chad Soper,15,14,2,0,107.14
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,6,Sherfane Rutherford,c Kiplin Doriga b Assad Vala,2,7,0,0,28.57
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,7,Andre Russell,not out,15,9,0,1,166.67
OMAN vs NAMIBIA,OMAN,1,Kashyap,lbw b Trumpelmann,0,1,0,0,0.00
OMAN vs NAMIBIA,OMAN,2,Naseem Khushi (wk),c Gerhard Erasmus b Trumpelmann,6,6,1,0,100.00
OMAN vs NAMIBIA,OMAN,3,Aqib Ilyas (c),lbw b Trumpelmann,0,1,0,0,0.00
OMAN vs NAMIBIA,OMAN,4,Zeeshan Maqsood,lbw b Bernard Scholtz,22,20,4,0,110.00
OMAN vs NAMIBIA,OMAN,5,Khalid Kail,c and b Wiese,34,39,1,1,87.18
OMAN vs NAMIBIA,OMAN,6,Ayaan Khan,c Jan Frylinck b Gerhard Erasmus,15,21,0,1,71.43
OMAN vs NAMIBIA,OMAN,7,Mohammad Nadeem,lbw b Gerhard Erasmus,6,10,0,0,60.00
OMAN vs NAMIBIA,OMAN,8,Mehran Khan,lbw b Wiese,7,8,1,0,87.50
OMAN vs NAMIBIA,OMAN,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,2,0,122.22
OMAN vs NAMIBIA,OMAN,10,Kaleemullah,lbw b Trumpelmann,2,3,0,0,66.67
OMAN vs NAMIBIA,OMAN,11,Bilal Khan,not out,1,1,0,0,100.00
OMAN vs NAMIBIA,NAMIBIA,1,Michael van Lingen,b Bilal Khan,0,2,0,0,0.00
OMAN vs NAMIBIA,NAMIBIA,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,2,1,77.42
OMAN vs NAMIBIA,NAMIBIA,3,Jan Frylinck,b Mehran Khan,45,48,6,0,93.75
OMAN vs NAMIBIA,NAMIBIA,4,Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13,16,1,0,81.25
OMAN vs NAMIBIA,NAMIBIA,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,1,0,66.67
OMAN vs NAMIBIA,NAMIBIA,6,David Wiese,not out,9,8,0,1,112.50
OMAN vs NAMIBIA,NAMIBIA,7,Zane Green (wk),lbw b Mehran Khan,0,2,0,0,0.00
OMAN vs NAMIBIA,NAMIBIA,8,Malan Kruger,not out,1,1,0,0,100.00
SRI LANKA vs SOUTH AFRICA,SRI LANKA,1,Pathum Nissanka,c Klaasen b Ottneil Baartman,3,8,0,0,37.50
SRI LANKA vs SOUTH AFRICA,SRI LANKA,2,Kusal Mendis (wk),c Tristan Stubbs b Nortje,19,30,1,0,63.33
SRI LANKA vs SOUTH AFRICA,SRI LANKA,3,Kamindu Mendis,c Reeza Hendricks b Nortje,11,15,1,0,73.33
SRI LANKA vs SOUTH AFRICA,SRI LANKA,4,W Hasaranga (c),st de Kock b Maharaj,0,2,0,0,0.00
