match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Ali Khan,4,0,41,1,0,2,10.20
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Netravalkar,2,0,16,0,0,0,8.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Harmeet Singh,4,0,27,1,0,0,6.80
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Jessy Singh,3,0,24,0,0,0,8.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,van Schalkwyk,3,0,34,0,0,0,11.30
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Steven Taylor,1,0,15,0,0,0,15.00
CANADA vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,CJ Anderson,3,0,29,1,0,0,9.70
CANADA vs UNITED STATES OF AMERICA,CANADA,Kaleem Sana,4,0,34,1,0,6,8.50
CANADA vs UNITED STATES OF AMERICA,CANADA,Jeremy Gordon,3,0,44,0,2,3,14.70
CANADA vs UNITED STATES OF AMERICA,CANADA,Dillon Heyliger,3,0,19,1,0,3,6.30
CANADA vs UNITED STATES OF AMERICA,CANADA,Saad Bin Zafar (c),4,0,42,0,0,0,10.50
CANADA vs UNITED STATES OF AMERICA,CANADA,Nikhil Dutta,2.4,0,41,1,1,2,15.40
CANADA vs UNITED STATES OF AMERICA,CANADA,Pargat Singh,1,0,15,0,0,0,15.00
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Akeal Hosein,3,0,9,1,0,0,3.00
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Romario Shepherd,3,0,23,1,0,1,7.70
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Russell,3,0,19,2,0,1,6.30
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Roston Chase,4,0,26,0,0,4,6.50
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Alzarri Joseph,4,0,34,2,1,1,8.50
PAPUA NEW GUINEA vs WEST INDIES,WEST INDIES,Motie,3,0,24,1,0,0,8.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Kabua Morea,3,0,30,0,0,0,10.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Alei Nao,2,1,9,1,0,0,4.50
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Chad Soper,3,0,19,1,0,0,6.30
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Sese Bau,1,0,18,0,0,0,18.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,John Kariko,4,0,17,1,0,0,4.20
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Assad Vala (c),4,1,28,2,0,0,7.00
PAPUA NEW GUINEA vs WEST INDIES,PAPUA NEW GUINEA,Charles Amini,2,0,14,0,0,0,7.00
OMAN vs NAMIBIA,NAMIBIA,Trumpelmann,4,0,21,4,1,0,5.20
OMAN vs NAMIBIA,NAMIBIA,Wiese,3.4,0,28,3,0,0,7.60
OMAN vs NAMIBIA,NAMIBIA,Tangeni Lungameni,4,0,18,0,0,1,4.50
